accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,auc,pr_auc,brier,experiment,seed,n_train,n_test,train_time_sec,predict_time_sec
0.9682259488084732,0.9710695499707772,0.9559838895281934,0.9777777777777776,0.9634676717889245,0.9354480180200476,0.0222222222222222,0.0440161104718066,3323,4356,99,153,0.9938642918121244,0.9931389491564876,0.0361558120747333,DISJOINT_AverageScore,44,31723,7931,0.0,0.0086489000241272
0.9682259488084732,0.9710695499707772,0.9559838895281934,0.9777777777777776,0.9634676717889245,0.9354480180200476,0.0222222222222222,0.0440161104718066,3323,4356,99,153,0.9668808336529856,0.947618233606883,0.0317740511915269,DISJOINT_TrueMajorityVote,44,31723,7931,0.0,0.0027305000112392
0.97579119909217,0.97183908045977,0.9729574223245108,0.9780022446689112,0.9723979298447384,0.9508399413415284,0.0219977553310886,0.027042577675489,3382,4357,98,94,0.9962687868326534,0.9956561221593828,0.0200163892011986,DISJOINT_LearnedLateFusion,44,31723,7931,0.0747272999724373,0.001682800007984
0.9759172865968982,0.9707652622527944,0.9743958573072498,0.9771043771043773,0.9725771715721464,0.9511146603041376,0.0228956228956228,0.0256041426927502,3387,4353,102,89,0.9966155610574484,0.9959468605465858,0.0195534206249786,DISJOINT_TrustGraphArbitration,44,31723,7931,3.3433577000396326,0.8704508000519127
0.9750346740638004,0.9690898683457356,0.974108170310702,0.9757575757575756,0.9715925394548064,0.9493356714727657,0.0242424242424242,0.025891829689298,3386,4347,108,90,0.996581819989952,0.9960091269103452,0.0197113498218784,DISJOINT_QuantumInspiredTrustGraph,44,31723,7931,3.8822139999829233,0.8999670000048354
0.9663346362375488,0.9734434936559456,0.9490794016110472,0.9797979797979798,0.9611070648215586,0.9316714268603408,0.0202020202020202,0.0509205983889528,3299,4365,90,177,0.9933684434163912,0.9925259695301986,0.03621280541401,DISJOINT_AverageScore,45,31723,7931,0.0,0.0036855000071227
0.9663346362375488,0.9734434936559456,0.9490794016110472,0.9797979797979798,0.9611070648215586,0.9316714268603408,0.0202020202020202,0.0509205983889528,3299,4365,90,177,0.9644386907045136,0.946192656798058,0.0336653637624511,DISJOINT_TrueMajorityVote,45,31723,7931,0.0,0.0027770000160671
0.9756651115874416,0.9740109731446722,0.9703682393555813,0.9797979797979798,0.9721861939760772,0.9505621036500916,0.0202020202020202,0.0296317606444188,3373,4365,90,103,0.996009965400069,0.9955162297967138,0.0195057551931232,DISJOINT_LearnedLateFusion,45,31723,7931,0.086000699957367,0.0017275999998673
0.9761694616063548,0.9729496402877698,0.9726697353279632,0.9789001122334456,0.972809667673716,0.9515999588880266,0.0210998877665544,0.0273302646720368,3381,4361,94,95,0.9966303167204588,0.9961221631499771,0.0187918213691957,DISJOINT_TrustGraphArbitration,45,31723,7931,3.334878099965863,0.8258461999939755
0.9765477241205396,0.973517559009787,0.9729574223245108,0.9793490460157128,0.9732374100719424,0.9523668019814132,0.0206509539842873,0.027042577675489,3382,4363,92,94,0.9965645781430208,0.9960069359993532,0.0187526810745073,DISJOINT_QuantumInspiredTrustGraph,45,31723,7931,3.774175200029276,0.9075825999607332
0.9669650737611902,0.9701579871269748,0.953970080552359,0.9771043771043773,0.961995938497244,0.9328878887107672,0.0228956228956228,0.0460299194476409,3316,4353,102,160,0.9940495932344802,0.9928826641583668,0.0364314620741064,DISJOINT_AverageScore,46,31723,7931,0.0,0.0066540000261738
0.9669650737611902,0.9701579871269748,0.953970080552359,0.9771043771043773,0.961995938497244,0.9328878887107672,0.0228956228956228,0.0460299194476409,3316,4353,102,160,0.965537228828368,0.9456756938845596,0.0330349262388097,DISJOINT_TrueMajorityVote,46,31723,7931,0.0,0.0072650999645702
0.9733955365023326,0.9689744326343004,0.9703682393555813,0.9757575757575756,0.9696708351300848,0.9459770784747188,0.0242424242424242,0.0296317606444188,3373,4347,108,103,0.9964234468453878,0.9957816481271826,0.0204294664960054,DISJOINT_LearnedLateFusion,46,31723,7931,0.0802908000187017,0.001756599987857
0.9738998865212456,0.9679358717434868,0.9726697353279632,0.9748597081930416,0.9702970297029704,0.9470295063652858,0.0251402918069584,0.0273302646720368,3381,4343,112,95,0.9969323719227824,0.9962632517609552,0.0198973320108277,DISJOINT_TrustGraphArbitration,46,31723,7931,3.3400370000163093,0.7935758999665268
0.973143361492876,0.96627607887968,0.9726697353279632,0.97351290684624,0.969462365591398,0.9455116135563812,0.0264870931537598,0.0273302646720368,3381,4337,118,95,0.9968894287459688,0.99623215431897,0.0200988096009983,DISJOINT_QuantumInspiredTrustGraph,46,31723,7931,3.8077387000084855,0.8639269999694079
