accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,brier,seed,experiment,modality,n,is_macro_row
0.9958246346555324,0.9852941176470589,1.0,0.9942028985507246,0.9925925925925926,0.9897384844946086,0.005797101449275362,0.0,134.0,343.0,2.0,0.0,0.9999351070733291,0.9998329187241266,0.0026628454991780522,45,V8_RC_QTG_CACHED,email,479,0
0.9828620394173093,0.9545454545454546,0.945,0.9906928645294726,0.949748743718593,0.9394357190698513,0.009307135470527405,0.055,189.0,958.0,9.0,11.0,0.9949793174767322,0.986346960906276,0.014598292190253876,45,V8_RC_QTG_CACHED,sms,1167,0
0.9815,0.9791044776119403,0.984,0.979,0.9815461346633416,0.9630120377257079,0.021,0.016,1968.0,1958.0,42.0,32.0,0.99867475,0.9987050867597858,0.01409572214264385,45,V8_RC_QTG_CACHED,qr,4000,0
,,,,0.9709369637296702,,,,,,,,,,,45,V8_RC_QTG_CACHED,MACRO,7932,1
0.9601924759405074,0.9646643109540636,0.9553805774278216,0.9650043744531933,0.96,0.9204275767043499,0.03499562554680665,0.04461942257217848,1092.0,1103.0,40.0,51.0,0.9740736148138962,0.9675220772308464,0.03672197518622732,45,V9A_RC_QTG_ReliabilityCircuitOnly,url,2286,0
0.9958246346555324,0.9925373134328358,0.9925373134328358,0.9971014492753624,0.9925373134328358,0.9896387627081982,0.002898550724637681,0.007462686567164179,133.0,344.0,1.0,1.0,0.9999351070733291,0.9998329187241266,0.00571856972347321,45,V9A_RC_QTG_ReliabilityCircuitOnly,email,479,0
0.9820051413881749,0.958974358974359,0.935,0.9917269906928645,0.9468354430379747,0.936115871596473,0.008273009307135471,0.065,187.0,959.0,8.0,13.0,0.9937642192347467,0.9772029355262455,0.0149640866021758,45,V9A_RC_QTG_ReliabilityCircuitOnly,sms,1167,0
0.9815,0.9791044776119403,0.984,0.979,0.9815461346633416,0.9630120377257079,0.021,0.016,1968.0,1958.0,42.0,32.0,0.99752325,0.9978349510098941,0.014462999526888565,45,V9A_RC_QTG_ReliabilityCircuitOnly,qr,4000,0
,,,,0.970229722783538,,,,,,,,,,,45,V9A_RC_QTG_ReliabilityCircuitOnly,MACRO,7932,1
0.9593175853018373,0.9597197898423818,0.9588801399825022,0.9597550306211724,0.9592997811816193,0.9186355221810029,0.04024496937882765,0.04111986001749781,1096.0,1097.0,46.0,47.0,0.9910700685598902,0.991993853420993,0.031796097167054095,45,V9B_QTG_Pair_PostQuantumFeaturesOnly,url,2286,0
0.9958246346555324,0.9852941176470589,1.0,0.9942028985507246,0.9925925925925926,0.9897384844946086,0.005797101449275362,0.0,134.0,343.0,2.0,0.0,0.9999351070733291,0.9998329187241265,0.0027151484027580558,45,V9B_QTG_Pair_PostQuantumFeaturesOnly,email,479,0
0.9837189374464439,0.9547738693467337,0.95,0.9906928645294726,0.9523809523809523,0.9425662123376767,0.009307135470527405,0.05,190.0,958.0,9.0,10.0,0.9949793174767322,0.986346960906276,0.014881644165401211,45,V9B_QTG_Pair_PostQuantumFeaturesOnly,sms,1167,0
0.98125,0.9771938522558254,0.9855,0.977,0.9813293502613891,0.9625347721967298,0.023,0.0145,1971.0,1954.0,46.0,29.0,0.99867475,0.9987050867597859,0.014326444061110928,45,V9B_QTG_Pair_PostQuantumFeaturesOnly,qr,4000,0
,,,,0.9714006691041384,,,,,,,,,,,45,V9B_QTG_Pair_PostQuantumFeaturesOnly,MACRO,7932,1
0.9597550306211724,0.9605609114811569,0.9588801399825022,0.9606299212598425,0.9597197898423818,0.9195114688934244,0.03937007874015748,0.04111986001749781,1096.0,1098.0,45.0,47.0,0.9910700685598902,0.991993853420993,0.031766397162237094,45,V9C_QTG_Pair_ActiveScoreSkipOnly,url,2286,0
0.9958246346555324,0.9852941176470589,1.0,0.9942028985507246,0.9925925925925926,0.9897384844946086,0.005797101449275362,0.0,134.0,343.0,2.0,0.0,0.9999351070733291,0.9998329187241265,0.00261185329280195,45,V9C_QTG_Pair_ActiveScoreSkipOnly,email,479,0
0.9837189374464439,0.9547738693467337,0.95,0.9906928645294726,0.9523809523809523,0.9425662123376767,0.009307135470527405,0.05,190.0,958.0,9.0,10.0,0.9949793174767322,0.986346960906276,0.014927432838225077,45,V9C_QTG_Pair_ActiveScoreSkipOnly,sms,1167,0
0.98125,0.9771938522558254,0.9855,0.977,0.9813293502613891,0.9625347721967298,0.023,0.0145,1971.0,1954.0,46.0,29.0,0.99867475,0.9987050867597858,0.01433605820556537,45,V9C_QTG_Pair_ActiveScoreSkipOnly,qr,4000,0
,,,,0.9715056712693291,,,,,,,,,,,45,V9C_QTG_Pair_ActiveScoreSkipOnly,MACRO,7932,1
